Wall time,Step,Value
1751246780.352097,2777088,-35551.421875
1751246790.337787,2785280,-35882.3984375
1751246794.3824909,2789376,-36006.78125
1751246798.2070599,2791424,-36163.3828125
1751246806.8730109,2799616,-36473.4140625
1751246817.681667,2807808,-36715.57421875
1751246836.354363,2822144,-36119.29296875
1751246840.718334,2826240,-36191.38671875
1751246848.960903,2832384,-36117.47265625
1751246852.9411042,2836480,-35867.0234375
1751246855.050059,2838528,-35669.9765625
1751246861.278412,2842624,-35607.15234375
1751246863.2299368,2844672,-35918.33203125
1751246865.590664,2846720,-35934.90234375
1751246872.2266161,2850816,-35393.05859375
1751246874.501367,2852864,-35575.5703125
1751246881.348971,2859008,-35333.5
1751246925.55159,2893824,-35555.64453125
1751246927.6624699,2895872,-35568.203125
1751246929.5734432,2897920,-35724.23046875
1751246931.779399,2899968,-35604.19140625
1751246942.49628,2908160,-35550.97265625
1751246950.6609962,2914304,-34910.0546875
1751246953.402692,2916352,-34881.953125
1751246961.403575,2922496,-34799.21484375
1751246963.605025,2924544,-34795.47265625
1751246965.689002,2926592,-34659.3203125
1751246975.525588,2934784,-35114.703125
1751246977.609163,2936832,-35040.69921875
1751246980.777323,2938880,-35165.890625
1751246988.4997618,2942976,-34937.16015625
1751246990.6425369,2945024,-34556.48828125
1751246992.890156,2947072,-34284.2421875
1751247000.9775412,2951168,-34337.9609375
1751247006.441277,2955264,-34510.2890625
1751247020.8633542,2967552,-34849.96484375
1751247027.658302,2971648,-34798.0703125
1751247041.254178,2981888,-35246.75
1751247043.531041,2983936,-35765.83203125
1751247068.1691442,3002368,-35099.90625
1751247070.346876,3004416,-35232.6953125
1751247104.290587,3026944,-35366.6328125
1751247116.2617102,3035136,-35447.8828125
1751247118.717986,3037184,-35504.6796875
1751247131.899661,3043328,-35128.9765625
1751247134.351066,3045376,-35159.55078125
1751247144.768065,3051520,-34398.33984375
1751247149.154797,3055616,-34537.61328125
1751247151.179569,3057664,-34982.8671875
1751247153.381772,3059712,-34936.1640625
1751247179.5759182,3074048,-34984.77734375
1751247182.703916,3076096,-35052.15625
1751247184.7960598,3078144,-34990.0390625
1751247189.355808,3080192,-35267.02734375
1751247193.953377,3084288,-35072.5546875
1751247196.244183,3086336,-35010.94140625
1751247202.514815,3090432,-34638.30078125
1751247204.896765,3092480,-34563.20703125
1751247207.097305,3094528,-34714.23828125
1751247209.156218,3096576,-34751.109375
1751247229.2484548,3106816,-34389.9609375
1751247237.063665,3110912,-34631.91015625
1751247250.761255,3121152,-35062.26171875
1751247253.384604,3123200,-34865.5
1751247259.884667,3129344,-34499.6171875
1751247279.166412,3143680,-34304.375
1751247283.291855,3147776,-34027.80859375
1751247315.7658849,3168256,-34587.55078125
1751247326.285079,3172352,-35022.95703125
1751247330.799718,3174400,-34620.91796875
1751247339.99616,3178496,-34348.109375
1751247345.525776,3180544,-34491.60546875
1751247350.909856,3184640,-34398.08984375
1751247363.647084,3186688,-34496.37109375
1751247390.882241,3198976,-34941.9296875
1751247396.678643,3201024,-35131.63671875
1751247416.54947,3213312,-35144.26171875
1751247419.319482,3215360,-35141.1015625
1751247458.4838688,3233792,-35474.390625
1751247483.206965,3241984,-35284.55078125
1751247487.7511759,3246080,-35315.31640625
1751247505.9831512,3254272,-35303.02734375
1751247532.211405,3266560,-35468.0
1751247543.256245,3270656,-35225.7421875
1751247546.361991,3272704,-35134.83203125
1751247553.7671711,3276800,-34721.19140625
1751247566.154376,3282944,-34975.890625
1751247582.624972,3287040,-34641.11328125
1751247585.728735,3289088,-34647.03515625
1751247602.465651,3297280,-34437.515625
1751247606.640151,3299328,-34804.87890625
1751247629.703116,3303424,-34995.5390625
1751247633.517204,3305472,-34906.4921875
1751247636.8551638,3307520,-34796.79296875
1751247639.114781,3309568,-34871.8828125
1751247670.306133,3315712,-35228.125
1751247677.6199522,3317760,-35022.70703125
1751247681.208375,3319808,-35102.12109375
1751247713.9479601,3328000,-34733.7109375
1751247735.402174,3332096,-34470.38671875
1751247738.602815,3334144,-34722.29296875
1751247742.32928,3336192,-34926.05078125
1751247761.841692,3340288,-35196.5625
1751247767.861909,3344384,-35667.79296875
1751247780.2967622,3348480,-35819.6484375
1751247796.4726772,3354624,-36229.18359375
1751247814.278835,3360768,-36473.0703125
1751247817.0270069,3362816,-36413.03125
1751247819.510347,3364864,-36398.23828125
1751247830.422751,3371008,-36255.53515625
1751247835.272628,3375104,-36409.9140625
1751247838.888683,3377152,-36312.3359375
1751247858.975067,3383296,-36109.52734375
1751247861.609993,3385344,-36108.9140625
1751247871.711348,3391488,-36446.65234375
1751247879.252312,3397632,-36909.73828125
1751247881.3157601,3399680,-37021.90625
1751247885.226175,3401728,-36880.8828125
1751247887.4137962,3403776,-36749.97265625
1751247894.215952,3409920,-36602.9296875
1751247906.545384,3418112,-36124.57421875
1751247912.624022,3422208,-35610.5234375
1751247914.789938,3424256,-35355.69921875
1751247916.9437969,3426304,-35496.4765625
1751247925.903849,3432448,-35333.8046875
1751247928.001132,3434496,-35733.0703125
